CO,NO2,Temperature,Humidity
8.61,29.19,24.54,52.16
5.78,54.62,37.41,37.95
2.46,27.88,5.6,21.8
0.63,46.54,36.51,99.24
8.96,68.73,22.42,49.69
2.29,83.63,39.02,64.91
6.32,64.94,6.87,37.26
3.89,86.84,24.36,99.58
3.84,33.48,39.67,66.72
6.64,72.63,0.6,55.79
3.3,73.79,37.89,70.78
5.17,41.19,26.49,87.74
9.41,29.87,20.31,65.57
0.47,16.59,25.68,23.47
2.79,37.91,37.79,10.6
1.81,51.3,16.03,86.26
4.23,66.84,35.36,50.23
3.59,14.7,23.04,14.98
3.75,7.69,29.58,69.71
3.71,65.51,1.21,23.94
1.06,19.94,34.37,64.41
2.74,40.15,24.24,28.39
5.99,42.52,39.0,11.76
4.05,34.72,15.76,19.82
0.71,15.05,17.65,72.44
0.62,91.76,35.98,51.28
4.76,44.32,13.06,92.3
2.38,78.72,30.95,30.06
3.81,8.0,12.08,47.46
2.43,33.55,1.07,54.9
9.12,24.88,36.0,47.83
0.56,40.12,5.5,73.42
1.95,31.67,0.32,86.18
5.23,27.25,19.49,84.25
9.42,87.56,9.32,34.94
1.86,75.01,30.27,87.22
2.14,89.51,6.52,77.24
4.58,22.89,23.67,55.59
7.68,27.68,26.68,76.15
5.42,66.21,4.46,30.05
8.92,59.85,3.44,40.15
5.27,70.75,23.05,48.47
5.31,19.41,1.93,35.25
9.15,95.72,38.31,74.78
6.72,92.31,2.67,19.65
4.17,63.2,19.83,66.06
3.22,37.11,7.2,89.72
3.06,49.0,38.23,81.14
9.06,49.1,0.34,99.63
1.47,59.36,19.26,65.73
1.19,72.35,22.75,31.57
7.22,32.19,19.77,35.36
1.74,80.38,33.91,63.69
6.92,7.66,16.42,91.71
2.88,44.08,16.07,50.22
4.69,30.01,1.8,55.67
5.1,83.39,11.75,51.71
9.83,89.69,27.04,95.78
1.27,60.84,0.17,30.73
3.19,85.27,25.81,91.46
5.74,37.26,15.96,86.54
1.96,84.38,7.3,11.72
5.07,67.32,9.44,77.1
6.1,14.25,18.41,20.11
9.94,53.19,18.04,12.19
2.55,61.63,3.38,93.85
5.24,14.88,22.4,77.04
4.96,29.58,21.13,75.0
3.51,92.96,18.99,36.0
8.61,27.16,34.87,94.52
7.32,98.62,4.67,79.9
4.76,13.53,8.73,99.86
7.34,27.79,-0.0,26.84
2.18,22.45,20.95,98.42
6.43,32.57,39.37,47.69
0.64,37.8,25.39,36.57
6.65,69.3,5.17,33.45
2.55,61.54,35.8,75.39
3.36,94.8,0.71,85.33
6.15,11.02,5.14,57.21
7.87,87.36,8.64,68.64
1.48,56.48,13.3,33.0
6.18,92.86,39.72,18.08
8.76,68.29,25.26,24.62
6.73,46.6,16.66,28.56
9.82,19.01,24.69,33.8
1.13,57.71,4.28,73.72
4.99,8.91,8.0,21.32
7.5,41.26,9.68,81.32
6.59,73.36,22.62,51.79
1.68,75.83,5.25,73.3
9.71,47.23,24.05,88.91
4.9,94.58,18.03,34.05
5.63,77.17,11.76,19.78
9.61,63.9,12.28,14.85
4.96,75.32,29.76,47.92
8.79,9.64,8.41,74.67
9.75,70.48,1.24,72.93
8.91,58.18,16.31,43.74
9.11,7.16,6.05,88.84
6.78,65.15,33.83,77.45
4.09,49.52,36.17,18.89
2.35,66.92,9.17,83.43
5.73,48.8,20.94,10.05
2.48,20.62,38.6,53.6
8.48,35.9,4.65,94.97
8.25,27.66,4.61,22.35
7.98,9.83,22.13,18.63
7.07,27.85,23.69,38.35
2.71,49.18,13.33,17.1
8.77,38.98,7.61,16.7
1.29,63.23,30.88,87.69
2.53,19.5,15.39,19.3
2.26,56.33,3.51,38.24
2.77,46.21,36.26,18.34
0.7,74.05,19.58,67.09
1.15,11.46,29.23,25.24
3.56,11.56,35.25,87.89
3.73,89.94,13.93,72.03
8.47,85.63,3.11,99.65
3.53,34.99,16.12,19.22
8.7,91.41,0.35,87.23
9.09,51.06,15.82,81.05
6.86,44.65,0.5,91.68
0.89,72.75,35.64,93.95
8.01,90.66,31.65,97.2
0.7,23.74,0.16,79.09
0.32,28.35,27.59,29.4
5.69,92.92,32.55,98.3
0.42,29.6,22.86,99.51
4.24,25.86,32.02,97.54
1.24,89.04,21.02,62.98
1.94,84.0,4.75,88.64
3.63,39.22,9.58,22.33
7.11,40.93,28.42,38.81
4.61,70.44,6.54,98.51
2.59,29.89,14.93,78.81
9.17,69.78,29.9,96.86
3.65,53.77,1.2,22.91
7.72,18.25,12.35,10.57
3.39,56.99,11.34,52.69
6.9,22.31,14.75,88.54
2.12,86.47,36.32,39.29
5.36,49.37,3.72,81.81
7.66,22.24,35.67,47.69
9.58,77.33,24.53,10.28
7.47,9.64,29.4,54.14
9.07,20.16,37.34,48.14
2.09,55.49,18.07,26.81
5.62,55.62,6.05,38.62
1.63,52.83,29.91,55.44
9.28,77.93,20.44,54.66
4.45,95.36,11.54,42.47
3.13,48.42,20.31,91.2
6.54,81.42,8.73,38.56
9.79,84.74,17.89,96.7
7.44,29.42,7.67,67.01
7.95,43.17,24.81,52.86
3.16,92.05,16.66,70.61
6.83,10.1,1.62,94.26
5.04,68.99,14.19,43.15
7.46,88.8,4.81,63.47
7.66,7.51,19.35,20.07
9.11,47.31,12.86,30.5
8.26,54.59,13.88,64.23
9.35,25.95,19.61,88.45
1.62,45.91,37.25,64.83
9.83,8.49,16.89,48.22
1.2,82.16,37.69,90.58
0.47,83.7,35.94,27.95
4.8,79.6,6.2,93.99
6.86,75.34,6.88,46.77
8.77,71.28,29.24,32.37
4.44,11.36,37.81,46.3
8.83,53.85,34.61,27.16
7.34,50.3,23.48,71.97
0.81,28.63,5.63,54.94
9.46,21.3,17.96,63.6
3.34,20.78,13.18,29.0
3.51,25.04,22.89,53.04
5.31,87.99,26.25,29.09
6.31,53.13,36.09,49.57
4.67,93.0,13.54,51.34
2.09,81.49,1.88,14.18
3.68,77.93,22.06,73.66
4.98,12.19,27.29,54.14
1.05,52.15,4.11,73.76
2.22,85.32,7.3,41.44
2.81,25.46,0.23,49.63
2.8,34.87,18.63,90.28
9.78,86.4,31.62,41.36
9.26,22.69,4.09,79.86
8.85,91.45,4.6,58.77
3.97,84.85,12.92,17.47
5.09,9.69,12.46,23.71
0.25,12.03,27.76,10.89
5.5,48.31,14.83,23.82
6.74,48.76,15.84,81.13
7.6,30.63,16.03,18.46
1.65,81.2,11.74,89.99
8.64,17.46,22.45,62.51
6.05,88.34,21.75,21.27
4.14,60.6,10.66,45.7
4.05,51.76,11.82,68.4
2.54,78.42,7.97,49.31
6.33,24.65,2.2,74.18
5.11,26.59,26.08,53.83
6.04,77.67,12.31,24.82
5.56,73.92,20.99,51.44
5.13,22.74,33.9,45.26
2.75,87.89,1.33,38.89
7.2,79.54,15.01,60.17
2.59,44.6,36.96,57.32
0.45,85.73,33.68,85.95
7.17,20.24,36.6,17.89
8.07,22.87,27.04,11.97
6.61,44.53,17.45,30.31
3.4,65.79,29.74,99.03
0.94,16.44,26.78,86.2
1.4,97.91,34.42,19.01
9.45,78.02,33.97,98.13
9.18,80.94,7.21,77.43
4.27,54.72,21.01,54.83
5.53,42.87,2.72,68.97
0.93,11.43,12.91,84.79
8.07,13.1,17.61,29.25
1.56,11.92,1.78,19.97
9.63,20.43,20.65,84.38
3.53,88.86,2.36,97.66
9.32,25.52,8.9,66.31
3.18,33.07,13.01,16.02
5.81,11.22,29.93,22.78
3.38,92.42,28.64,58.47
2.36,34.06,26.04,81.06
8.74,82.54,2.36,85.65
3.83,93.13,0.39,40.12
4.05,70.1,6.97,78.93
8.64,27.82,10.53,91.31
0.73,45.71,30.66,44.56
2.1,60.19,17.67,90.82
0.69,61.06,17.47,67.07
1.76,75.26,34.06,21.2
2.5,23.28,25.82,76.1
9.35,50.73,8.83,63.41
6.51,83.92,24.43,19.53
6.58,88.56,18.86,46.68
0.32,36.68,21.53,34.25
1.54,29.35,8.26,99.44
2.72,27.6,20.03,54.05
4.87,56.05,4.18,51.01
8.75,11.34,15.72,69.77
8.56,71.55,32.24,80.62
2.89,34.97,36.93,15.89
3.64,52.17,4.34,57.85
6.73,77.94,15.4,51.2
0.37,17.43,6.88,28.37
4.72,88.41,22.82,13.68
7.66,46.19,25.51,60.6
4.83,12.64,2.61,13.42
1.21,83.82,29.34,97.0
5.37,76.57,10.73,83.81
9.95,89.21,35.52,18.87
9.91,25.3,37.43,33.23
8.82,12.13,31.25,42.24
0.3,58.91,26.08,95.03
4.86,69.35,31.46,96.55
7.8,29.7,4.1,17.64
3.5,23.19,27.95,58.46
5.38,17.94,18.79,39.97
2.69,96.92,7.95,17.55
1.3,42.6,5.86,49.18
4.1,73.26,24.88,72.37
0.1,53.83,3.48,25.53
7.07,82.43,2.33,32.26
7.56,35.32,20.16,16.26
7.43,21.2,10.0,36.5
2.25,86.84,2.34,20.85
4.44,50.7,15.95,68.28
0.62,16.23,34.1,53.59
0.51,87.21,7.92,70.13
6.4,19.72,30.47,77.9
3.01,26.14,26.27,72.54
8.81,62.67,2.85,14.72
0.65,58.84,7.45,87.32
5.56,35.36,3.37,35.87
4.06,15.81,25.4,66.63
6.0,92.27,35.24,88.74
3.53,95.14,14.23,82.8
9.85,36.82,30.01,19.72
5.54,53.37,31.1,29.43
5.94,29.8,2.24,97.01
4.18,21.95,24.82,43.54
0.85,83.87,38.88,86.68
3.92,7.54,37.46,57.31
7.62,79.06,4.41,35.05
4.01,56.06,37.72,33.44
9.01,50.49,34.53,68.11
0.84,44.11,5.37,49.19
1.03,56.41,6.57,69.08
3.93,29.62,25.23,31.25
6.43,74.9,18.21,31.56
2.38,78.66,22.79,23.58
4.71,41.58,34.7,70.36
0.53,96.75,20.56,11.39
6.74,72.73,32.1,79.07
9.51,88.58,1.85,23.59
3.27,88.37,18.18,48.76
3.46,60.01,29.38,15.11
7.74,99.9,11.66,84.32
6.41,35.45,14.87,35.87
7.23,49.23,24.52,96.11
5.39,35.23,25.74,10.39
1.46,5.88,27.21,51.12
1.19,83.03,33.73,88.76
3.2,70.02,30.13,20.07
8.0,35.88,17.42,46.44
8.79,38.0,10.43,66.6
4.12,63.71,16.17,79.97
6.12,86.11,3.15,84.46
4.88,13.79,13.16,89.33
6.62,60.02,27.91,62.93
5.85,99.84,2.78,67.39
1.57,74.77,15.94,87.37
7.38,98.65,24.73,89.85
9.94,9.75,14.06,92.0
9.3,59.15,22.76,65.3
3.65,18.8,18.46,91.09
0.48,96.39,33.29,58.1
7.6,76.2,19.76,82.59
3.74,43.14,35.26,53.89
7.98,36.32,25.21,25.23
7.37,63.69,14.67,92.05
9.29,33.83,36.92,27.24
5.14,53.69,13.83,95.29
8.36,19.02,6.83,87.01
2.32,45.28,34.93,43.53
9.87,23.34,6.05,70.31
6.72,46.49,14.2,60.8
8.19,95.49,1.53,50.63
4.49,40.42,13.24,19.89
8.18,10.18,8.25,49.04
7.73,77.52,4.68,77.35
8.39,46.86,11.53,92.24
6.91,25.66,27.76,66.77
2.63,23.06,13.45,32.48
9.5,42.02,24.29,78.2
4.92,61.5,18.82,52.35
8.98,71.39,1.63,95.18
2.81,6.68,12.6,97.28
9.36,22.17,35.84,28.22
4.58,49.75,23.1,41.57
3.06,95.12,4.38,52.33
9.93,11.76,34.54,86.55
7.16,7.33,8.36,38.9
0.75,55.83,36.34,98.13
9.27,89.85,15.58,74.68
7.91,83.28,35.36,59.1
1.26,8.23,0.24,29.65
6.17,65.04,2.15,63.79
6.64,33.57,21.41,87.6
4.76,92.96,5.96,56.91
2.2,49.93,27.04,14.04
6.55,98.97,26.2,17.23
8.11,49.12,23.37,51.07
7.97,87.66,39.63,44.83
1.9,78.85,22.68,27.41
8.18,54.84,18.6,96.02
4.84,45.31,0.12,20.63
0.18,20.35,33.54,15.56
9.49,33.27,16.07,43.63
0.17,87.04,15.91,41.07
7.57,8.4,27.84,20.32
6.43,76.45,1.67,18.19
1.7,73.39,0.23,43.91
0.42,27.16,20.02,30.25
9.45,42.0,0.88,30.65
3.6,6.59,5.69,10.51
7.96,63.05,4.78,80.0
5.95,67.98,16.12,40.58
7.93,63.25,23.27,79.96
2.38,44.6,35.99,45.99
1.29,9.06,25.82,96.56
1.54,58.48,35.12,74.38
3.5,74.62,33.56,37.57
2.94,18.21,15.15,13.77
0.11,13.84,31.33,89.17
7.37,22.23,6.01,96.14
9.22,14.91,23.98,22.36
5.92,26.89,5.14,28.63
0.37,70.36,0.94,71.66
5.4,16.8,0.84,20.08
0.78,74.8,34.66,63.53
9.86,28.25,14.66,79.86
0.43,81.59,1.0,72.36
8.82,63.45,2.05,17.98
9.48,69.34,36.34,52.88
4.71,85.06,10.34,25.24
7.64,49.45,10.37,14.75
1.09,16.18,34.23,54.27
8.75,10.12,6.99,76.85
0.88,93.6,21.32,32.48
9.69,13.37,8.05,24.24
3.85,52.24,36.56,17.54
5.42,25.16,2.88,63.72
5.27,44.59,28.78,24.5
6.68,85.57,12.05,76.54
8.44,45.46,32.15,26.16
9.33,91.42,14.65,70.27
3.36,66.48,35.77,39.73
7.77,92.16,30.36,23.29
6.96,85.16,18.15,30.17
5.66,66.56,11.4,67.29
2.72,62.97,22.62,18.29
2.52,31.15,34.62,81.66
3.76,65.02,26.94,49.69
8.32,59.24,13.24,93.28
5.19,59.23,3.49,87.26
7.45,78.24,37.57,80.42
9.07,20.84,27.66,15.12
1.2,13.34,18.6,63.73
5.46,87.09,22.92,41.43
0.69,43.39,25.39,29.32
8.6,54.49,19.32,15.64
2.88,87.49,3.93,58.5
7.04,64.04,32.02,93.3
1.95,25.25,25.25,44.58
3.93,71.12,33.43,10.44
2.74,38.59,7.49,90.11
8.69,61.77,32.27,30.72
0.47,48.49,22.14,51.06
2.88,73.84,32.78,10.56
0.79,58.69,33.29,87.77
6.72,81.6,17.34,24.84
2.74,67.36,9.94,75.9
9.36,94.48,24.46,12.35
2.51,50.81,37.11,68.75
4.02,67.17,10.27,53.49
7.51,17.91,6.29,69.31
1.86,40.65,21.03,66.76
6.08,96.89,10.31,71.54
7.41,44.82,10.15,91.5
0.79,25.47,2.04,96.19
5.2,14.75,36.97,54.79
9.19,62.89,21.99,52.35
3.38,96.1,31.87,34.21
3.86,5.15,0.32,54.6
0.82,87.83,1.37,71.69
7.51,24.17,34.93,70.62
4.49,36.41,21.12,10.62
8.05,71.15,38.26,63.69
2.34,5.01,0.6,34.47
9.92,14.91,21.88,40.47
2.99,50.27,36.06,20.97
9.72,88.82,0.95,38.28
1.55,83.2,26.36,93.09
8.18,49.71,10.78,55.4
6.11,7.1,14.02,22.61
0.1,23.3,24.13,35.81
6.2,48.15,12.14,57.03
8.94,55.17,19.34,96.94
3.53,85.44,13.46,22.22
6.69,13.51,24.23,95.76
2.94,92.11,5.04,46.16
7.11,69.25,14.31,16.79
9.07,5.96,34.64,54.55
0.19,8.07,13.3,62.48
3.57,95.5,16.56,94.58
2.29,8.3,11.67,37.72
9.07,90.87,3.11,57.21
5.14,50.15,39.16,80.18
6.01,19.51,33.42,66.42
4.38,86.56,21.95,50.11
3.8,67.39,16.87,23.17
7.77,69.12,28.85,73.02
3.72,80.51,29.96,17.41
9.26,27.77,12.69,74.36
8.34,48.19,1.87,59.47
4.55,52.48,13.28,93.16
8.31,50.74,16.85,49.44
5.9,84.76,14.06,67.59
8.32,97.67,21.21,55.74
4.12,9.25,27.43,48.23
7.77,28.78,15.58,92.71
7.13,71.81,5.14,56.11
4.22,58.6,32.57,14.13
4.14,81.11,34.31,77.94
6.43,83.6,11.18,11.56
6.83,52.73,20.9,58.2
4.03,15.59,33.75,16.68
0.57,15.17,11.68,37.28
4.01,87.17,19.8,89.72
0.96,21.91,9.62,11.73
1.84,74.67,31.52,58.76
2.83,93.16,5.1,31.26
9.23,31.67,30.38,89.59
4.68,70.4,7.2,51.49
4.09,30.84,18.31,83.92
7.71,44.98,30.14,86.1
7.54,30.52,10.92,36.24
9.87,57.25,28.16,36.8
6.78,82.87,8.89,43.3
7.55,94.47,33.22,93.81
1.3,47.64,31.87,54.32
2.22,8.99,6.97,95.96
4.07,72.73,1.9,64.75
5.24,11.56,2.03,15.78
6.67,90.36,31.87,46.07
9.78,5.27,5.78,94.54
2.27,10.56,26.27,91.76
3.35,92.17,1.85,46.74
1.26,34.78,21.43,65.4
8.52,30.47,35.27,42.29
8.6,12.23,6.99,18.23
7.77,65.02,37.04,84.89
8.33,25.11,9.68,75.66
6.56,69.69,28.39,61.38
1.85,12.01,9.55,95.34
0.1,56.06,37.59,69.87
2.7,28.06,19.83,31.91
5.75,57.14,27.43,85.5
6.77,57.12,38.36,25.36
7.96,70.99,19.74,26.9
9.94,24.67,15.74,74.78
0.53,86.27,5.2,24.32
2.11,79.47,0.12,92.07
5.53,80.77,13.11,95.19
1.36,35.33,31.31,31.63
1.84,79.38,26.49,85.65
7.11,48.44,26.77,39.67
5.22,5.15,31.04,49.67
4.2,39.5,9.74,29.64
8.56,75.22,29.03,71.03
3.43,75.1,29.08,51.62
6.55,18.14,38.59,51.73
9.7,83.8,15.7,82.37
8.16,63.4,26.26,54.83
2.02,16.55,30.33,36.92
7.0,82.72,20.63,98.14
0.16,73.53,38.55,66.46
8.55,48.22,7.71,87.68
0.93,23.86,17.7,45.82
6.13,47.0,33.68,69.3
3.74,33.22,6.49,79.91
1.08,87.13,24.24,49.38
7.3,26.57,29.89,34.22
7.82,33.22,7.83,28.78
6.73,82.09,9.61,17.11
7.99,58.48,6.93,56.86
8.43,40.34,4.82,13.03
4.96,29.1,8.81,55.63
4.21,8.58,14.65,13.89
4.69,46.15,13.92,79.86
7.62,98.62,36.07,45.4
3.62,32.46,37.05,93.24
8.1,30.55,33.97,80.85
5.5,54.44,35.06,63.06
8.45,67.24,8.13,37.01
7.92,78.74,16.19,72.26
1.04,29.96,19.53,90.94
6.73,40.42,33.17,99.03
2.05,51.38,8.97,73.12
3.58,84.74,20.56,37.34
6.34,34.14,0.61,54.01
6.05,54.94,14.41,64.44
6.9,29.49,27.8,63.01
2.18,16.3,16.22,84.57
8.81,72.04,13.75,28.22
6.65,77.0,2.84,65.99
2.77,82.69,30.81,47.36
6.56,11.24,7.14,82.94
1.68,91.45,6.21,13.79
4.29,42.44,2.93,52.29
8.21,33.42,0.99,10.97
4.2,31.78,39.15,72.71
6.16,8.6,30.36,26.85
7.11,18.18,31.26,65.17
2.63,80.33,6.89,42.28
1.47,78.37,25.64,20.78
3.81,99.99,16.8,40.92
4.88,49.34,36.32,34.55
1.86,12.46,14.69,95.26
2.75,39.53,29.6,15.57
8.25,89.51,37.66,64.41
6.02,70.48,0.34,65.91
8.19,40.43,4.2,91.43
4.85,62.59,21.97,35.42
0.67,94.25,11.76,80.2
4.79,6.02,15.11,18.39
3.78,72.77,27.1,16.98
1.58,36.59,24.75,44.5
8.99,90.02,34.11,74.54
1.41,50.36,30.72,27.7
7.71,46.81,39.62,94.81
4.79,26.55,17.32,97.12
4.5,59.63,13.63,13.51
0.22,61.78,10.21,18.21
4.73,69.35,7.88,92.2
3.1,58.84,13.53,30.46
4.92,31.52,28.63,67.41
2.94,95.95,35.85,35.66
5.2,40.95,31.23,54.25
8.27,63.59,12.87,59.49
4.53,67.75,15.0,33.17
1.13,85.6,35.97,83.82
3.58,82.4,22.17,30.19
9.23,36.18,23.36,56.32
4.34,36.97,5.95,15.95
7.27,18.49,12.98,12.93
1.59,20.67,15.83,38.19
2.78,60.06,35.97,30.96
3.62,74.73,22.5,95.25
4.77,29.96,24.28,92.27
6.25,98.73,14.91,53.19
8.74,29.32,5.79,22.78
7.44,29.23,2.23,11.94
5.57,29.56,3.87,94.17
6.39,28.6,19.58,58.31
4.23,66.01,14.14,88.94
2.24,41.98,9.9,75.36
1.49,15.94,9.08,24.22
9.65,56.75,4.72,72.7
0.52,96.84,36.1,29.64
3.17,18.68,20.05,20.86
9.8,5.01,14.48,15.71
5.39,73.64,13.35,63.92
1.97,29.82,12.73,53.41
9.19,99.78,8.78,71.15
9.54,13.13,12.22,89.12
8.46,15.09,22.77,42.98
0.8,89.01,32.08,99.96
2.91,11.18,14.16,16.79
7.24,99.0,7.06,87.58
7.69,78.56,9.31,47.27
1.93,40.27,20.31,41.81
8.83,20.99,8.99,78.75
0.29,82.18,27.92,51.12
4.17,7.0,31.78,22.51
4.56,96.41,17.4,77.72
1.92,91.99,24.86,45.46
4.63,54.49,22.26,69.92
0.11,40.85,18.22,45.62
4.42,21.46,20.83,27.25
9.16,39.83,2.08,58.13
7.59,26.18,10.91,81.47
1.55,44.12,8.41,69.01
9.43,18.71,6.49,40.51
6.46,87.69,1.19,81.22
7.03,74.19,22.52,75.05
5.28,15.7,25.62,97.68
8.73,61.84,30.3,97.22
7.94,93.17,34.68,93.67
4.83,14.44,16.97,16.32
0.19,73.49,32.62,45.49
2.96,21.98,29.62,38.99
8.44,71.29,3.6,31.58
1.55,20.98,37.12,15.92
2.09,51.26,34.56,39.95
2.74,80.58,10.85,79.62
1.14,14.84,30.88,52.14
7.46,13.39,35.93,29.79
6.48,6.77,0.08,76.63
7.96,42.39,34.33,49.94
8.13,82.88,17.23,50.45
4.25,87.84,25.75,37.18
4.0,47.65,30.72,64.06
9.33,61.05,37.11,31.63
7.02,90.86,18.22,29.35
6.62,9.28,30.05,30.42
4.08,50.69,13.59,85.98
5.15,45.72,19.03,55.95
3.24,34.12,26.86,49.78
2.28,10.13,25.32,56.07
9.67,98.27,40.0,66.63
4.49,31.29,14.26,43.83
1.63,45.07,33.02,90.91
8.51,47.64,34.67,63.55
5.82,46.64,36.47,83.85
8.68,71.24,12.68,91.84
6.93,71.25,14.47,17.78
1.9,89.43,26.57,26.44
8.65,72.79,9.53,37.59
7.58,72.89,19.15,42.27
9.1,55.75,3.44,15.01
7.0,43.54,12.57,47.24
6.29,27.29,12.78,47.99
1.82,70.81,26.0,42.51
6.61,91.84,1.69,84.83
2.13,30.96,21.7,55.39
0.33,83.06,32.17,79.41
7.63,32.15,31.61,61.16
6.48,45.07,12.27,52.37
6.12,98.71,29.47,30.32
0.72,41.78,24.83,66.67
4.88,61.78,38.05,10.74
8.89,6.44,4.61,97.88
1.75,43.86,23.62,12.5
9.26,79.54,38.53,71.59
4.69,86.83,6.1,49.19
9.14,88.56,16.11,34.99
2.21,66.37,10.66,24.03
8.32,65.69,15.78,95.69
2.69,91.09,39.04,84.18
8.56,14.39,25.61,48.12
6.17,71.65,5.09,70.34
5.97,82.73,32.17,63.59
3.34,22.92,32.71,42.37
1.77,33.03,15.45,50.73
4.11,78.58,27.24,91.35
3.0,25.29,4.71,19.03
5.58,64.95,25.14,65.76
8.8,31.37,30.25,32.13
2.72,98.68,24.9,31.86
4.17,58.04,39.5,43.55
8.85,83.75,37.31,54.85
8.84,29.6,20.98,40.65
9.6,46.1,29.73,11.91
7.66,32.94,36.84,12.81
9.4,90.55,29.92,96.2
6.0,77.93,24.1,77.69
2.05,72.19,2.82,94.42
3.57,63.94,9.92,45.63
4.58,19.58,25.4,21.48
8.03,43.92,2.92,70.19
3.32,10.64,21.34,59.85
8.33,48.46,14.04,66.38
6.62,12.21,5.32,42.51
4.29,92.74,34.83,97.1
3.14,28.47,8.14,52.93
2.53,38.67,3.67,18.09
6.29,68.19,34.28,26.51
5.38,34.88,20.45,73.9
0.68,24.55,20.33,67.45
3.75,64.85,37.13,76.84
8.3,36.7,34.94,56.17
7.94,18.07,8.73,40.05
6.25,13.18,27.43,50.01
2.34,55.84,32.31,89.55
5.08,32.34,26.9,77.23
4.86,40.7,10.9,83.67
4.34,73.19,18.52,86.07
4.25,97.19,1.71,24.01
9.36,17.32,5.56,79.53
4.63,68.78,37.39,92.31
4.9,91.38,18.32,77.76
7.5,17.64,34.77,99.92
7.4,47.59,37.27,41.0
3.54,62.23,32.08,25.25
6.81,15.89,31.9,46.13
2.73,60.58,20.16,35.82
9.59,14.21,16.23,80.53
2.82,54.67,26.51,12.96
7.26,66.07,27.57,68.82
5.53,7.64,24.6,41.72
6.43,66.91,18.82,36.85
5.64,59.8,21.11,37.2
1.05,26.4,12.06,82.63
3.68,10.66,37.88,62.41
4.94,17.95,25.36,60.19
9.48,31.26,4.86,41.95
5.31,30.63,11.84,82.4
4.09,68.49,17.58,79.78
4.83,51.79,11.29,75.53
4.24,72.24,23.05,41.3
5.82,78.87,27.07,63.11
6.73,6.62,39.48,50.21
3.08,50.24,37.2,35.47
9.17,90.09,27.31,78.88
1.7,21.28,0.87,34.21
9.24,67.21,3.83,69.85
2.62,23.18,22.99,82.02
8.47,88.59,12.76,21.71
2.99,31.7,12.55,45.5
5.14,7.51,9.51,85.01
6.42,68.63,9.92,77.03
1.81,49.07,34.48,60.18
6.39,6.62,4.29,30.07
6.01,62.67,24.05,65.15
5.74,13.01,28.89,63.93
2.39,40.95,16.2,98.94
7.77,32.3,19.58,74.05
0.81,59.74,4.54,13.92
1.04,77.82,39.83,28.09
5.02,9.94,24.29,13.53
9.22,22.72,12.82,91.3
1.0,43.62,31.29,47.97
1.27,30.64,24.22,14.96
4.67,10.73,37.18,32.08
1.0,49.41,2.47,55.98
6.88,63.09,28.47,97.92
0.78,77.54,3.9,34.15
2.65,88.91,19.27,28.58
5.9,30.2,10.54,21.83
0.48,34.12,0.99,15.84
3.16,54.27,19.09,91.22
1.56,63.07,0.0,66.59
