CO,NO2,Temperature,Humidity
3.0,129.0,22.2,28.4
2.9,128.0,21.3,30.8
2.5,121.0,19.7,36.7
4.6,157.0,18.4,41.7
5.9,173.0,17.6,46.1
3.4,146.0,16.7,49.6
2.1,121.0,16.3,51.0
2.2,119.0,14.7,55.9
1.8,99.0,14.8,54.7
1.8,93.0,14.0,57.0
1.8,88.0,13.4,61.3
-200.0,71.0,12.3,65.4
1.0,74.0,11.9,67.4
1.4,80.0,11.4,70.5
2.2,89.0,11.3,70.2
5.5,114.0,12.4,63.9
8.1,149.0,14.8,54.3
5.8,157.0,17.4,45.6
4.2,155.0,19.8,38.5
3.1,134.0,22.0,34.1
2.9,119.0,23.3,32.2
2.9,111.0,23.9,30.0
2.5,104.0,24.4,28.9
2.3,99.0,24.4,29.4
2.8,110.0,23.8,31.3
6.1,162.0,22.5,35.4
8.0,187.0,20.4,42.5
6.5,165.0,18.3,52.6
4.2,145.0,16.7,57.4
3.2,125.0,15.7,60.2
1.4,101.0,15.3,61.4
2.1,103.0,14.1,65.7
1.2,88.0,14.8,60.6
0.8,61.0,14.8,59.2
-200.0,59.0,12.3,66.2
0.6,52.0,12.8,63.2
0.9,64.0,11.2,68.5
1.3,70.0,11.0,66.5
3.4,97.0,11.7,63.7
3.7,95.0,13.6,56.3
5.3,150.0,17.8,42.9
4.1,162.0,21.4,33.3
3.3,154.0,24.4,27.4
4.0,161.0,25.3,26.1
3.8,161.0,25.8,23.2
2.8,128.0,27.0,20.2
2.9,129.0,28.2,18.6
2.9,133.0,28.0,19.1
3.4,139.0,23.9,25.7
3.9,137.0,21.3,34.8
3.2,143.0,20.4,36.7
5.1,177.0,19.0,41.3
2.6,138.0,17.9,45.9
1.7,117.0,16.7,48.9
1.7,107.0,15.5,52.9
1.2,90.0,15.5,51.9
0.9,79.0,14.1,55.6
-200.0,60.0,12.7,57.9
0.5,40.0,11.8,58.0
0.5,53.0,11.9,57.4
1.6,84.0,9.9,65.2
4.1,108.0,11.1,60.2
6.6,127.0,14.1,50.0
4.3,134.0,17.7,40.1
2.9,135.0,21.1,33.4
2.5,142.0,24.3,28.3
2.8,153.0,25.6,25.6
2.6,123.0,25.9,25.9
2.0,104.0,26.8,18.7
2.9,129.0,29.3,15.8
2.5,114.0,28.5,14.9
5.0,158.0,25.9,16.0
7.6,194.0,23.1,26.5
6.7,182.0,20.5,38.2
5.7,180.0,19.1,42.6
2.8,136.0,17.2,44.1
2.6,127.0,16.0,50.9
2.3,116.0,14.8,53.9
1.4,107.0,14.3,55.4
1.0,88.0,14.8,52.1
-200.0,78.0,11.6,61.9
0.6,57.0,12.0,58.9
0.7,71.0,10.9,62.1
1.5,85.0,10.6,63.3
4.7,124.0,11.5,60.0
6.6,151.0,14.3,50.6
4.5,150.0,17.8,40.5
2.8,152.0,20.8,34.4
2.2,139.0,23.8,28.2
2.2,133.0,24.2,28.7
2.3,126.0,25.2,24.9
2.2,128.0,27.0,17.8
2.8,169.0,27.1,23.1
2.7,149.0,25.8,23.9
3.7,156.0,23.0,26.8
5.1,168.0,20.7,31.1
5.1,176.0,18.6,36.2
3.2,135.0,16.0,48.4
2.1,121.0,14.5,57.8
1.7,99.0,13.1,64.2
2.0,106.0,12.0,69.7
1.6,96.0,11.9,71.1
0.9,63.0,12.5,69.3
-200.0,32.0,12.3,67.7
0.5,28.0,12.5,66.8
0.7,61.0,12.3,66.3
1.5,99.0,12.4,64.9
4.8,157.0,13.0,61.6
6.2,166.0,13.6,58.8
4.0,149.0,13.9,57.1
3.3,135.0,14.5,54.4
2.8,127.0,15.5,50.1
3.0,122.0,16.1,47.6
3.3,135.0,16.3,47.1
3.5,139.0,16.4,47.5
4.0,147.0,16.1,50.2
4.6,158.0,16.0,50.7
4.1,146.0,15.8,50.3
4.5,144.0,15.5,50.6
3.9,138.0,15.4,51.4
4.0,143.0,15.2,53.1
2.2,116.0,14.7,57.6
2.1,109.0,14.2,58.3
1.7,92.0,13.8,57.9
1.6,83.0,13.9,55.9
1.3,81.0,13.9,55.6
-200.0,55.0,13.8,54.6
0.8,53.0,13.6,55.1
0.8,67.0,13.6,59.0
1.1,91.0,13.5,58.4
2.1,113.0,13.8,58.0
2.4,102.0,14.6,53.1
2.6,107.0,15.0,52.3
2.8,113.0,15.4,52.1
2.6,108.0,16.3,50.0
2.6,105.0,17.1,47.9
2.1,93.0,19.0,42.9
1.7,87.0,19.5,42.3
1.6,76.0,19.5,42.3
2.1,94.0,19.1,43.8
2.3,110.0,18.5,46.3
3.5,136.0,17.4,51.6
3.9,139.0,17.1,51.3
3.3,125.0,16.4,53.8
2.3,111.0,16.2,55.4
2.1,97.0,15.9,57.7
2.8,107.0,15.7,58.6
2.1,90.0,15.1,60.9
1.6,84.0,15.6,56.6
-200.0,87.0,15.4,57.8
1.1,66.0,14.9,60.6
0.7,36.0,14.5,63.0
0.8,62.0,14.2,66.2
1.2,91.0,14.5,65.3
1.4,89.0,15.3,62.1
1.7,93.0,16.3,59.0
1.8,81.0,18.9,49.6
1.8,82.0,19.4,46.1
1.9,80.0,20.8,41.6
1.3,48.0,21.4,40.3
1.6,61.0,21.2,39.3
1.9,89.0,20.3,38.0
2.3,105.0,19.4,41.3
3.8,116.0,18.5,43.8
3.5,119.0,17.8,48.1
4.3,144.0,17.9,46.9
2.8,123.0,17.4,49.1
1.9,105.0,17.0,51.7
1.9,93.0,16.4,55.1
1.7,86.0,16.1,60.0
1.5,76.0,15.8,60.5
0.6,33.0,16.3,57.0
-200.0,27.0,16.1,55.9
0.3,23.0,16.5,53.9
0.6,46.0,16.4,54.0
1.2,76.0,15.7,57.6
3.6,116.0,15.8,53.7
3.7,115.0,17.4,42.1
1.8,83.0,17.9,38.4
1.6,87.0,18.5,36.7
1.9,90.0,21.0,29.6
2.0,87.0,21.3,28.1
2.2,99.0,21.3,26.1
2.1,99.0,21.3,26.8
2.3,101.0,21.3,24.2
2.6,103.0,20.2,28.5
3.8,129.0,17.0,43.1
4.4,143.0,15.6,47.4
4.5,146.0,15.3,47.4
3.3,124.0,14.5,49.7
2.0,113.0,13.9,52.0
1.1,80.0,14.5,49.4
0.9,72.0,13.8,51.4
0.8,64.0,14.0,51.3
0.7,70.0,13.0,56.8
-200.0,31.0,10.1,76.8
0.3,22.0,8.8,80.5
0.5,47.0,9.6,75.4
1.1,88.0,9.8,75.0
3.0,130.0,10.0,74.2
3.8,132.0,11.2,69.7
3.4,132.0,12.0,62.9
3.0,131.0,12.8,55.8
2.7,129.0,13.1,54.8
3.5,132.0,13.8,53.4
2.8,110.0,16.0,42.4
1.9,99.0,14.1,49.8
2.0,100.0,12.0,61.1
3.0,122.0,13.6,54.6
1.9,97.0,13.7,49.5
2.7,112.0,11.7,57.1
3.3,128.0,11.5,58.2
1.7,101.0,12.6,54.2
1.3,96.0,12.0,54.9
1.3,86.0,11.0,61.4
1.2,85.0,11.1,62.2
1.1,79.0,10.8,62.5
0.9,61.0,11.3,60.0
-200.0,66.0,10.2,62.7
0.6,54.0,10.9,58.6
0.8,57.0,10.8,57.2
1.2,75.0,10.4,59.2
3.1,97.0,11.0,57.3
4.4,110.0,11.2,56.9
3.4,113.0,12.1,54.9
1.7,88.0,15.1,44.3
1.5,85.0,15.6,40.6
1.7,96.0,16.9,34.6
2.2,106.0,16.6,35.6
-200.0,91.0,11.3,63.9
2.7,126.0,9.6,81.1
2.8,130.0,11.7,69.1
2.7,111.0,10.7,68.5
4.5,134.0,10.7,67.3
3.5,136.0,10.8,65.7
2.6,125.0,10.3,66.3
1.7,108.0,10.1,66.9
1.3,87.0,10.4,61.1
1.3,89.0,10.3,59.9
1.0,58.0,11.0,58.4
0.7,54.0,9.1,68.1
0.5,28.0,9.3,72.3
0.5,20.0,9.9,66.8
0.6,51.0,7.6,83.2
1.1,82.0,8.1,79.0
2.7,112.0,8.7,74.6
3.5,119.0,8.6,75.1
2.3,99.0,9.7,69.7
1.6,98.0,11.0,64.4
1.3,88.0,13.6,53.0
2.0,96.0,14.2,48.4
1.9,81.0,14.2,46.3
1.9,92.0,16.0,41.3
2.2,105.0,17.7,35.4
2.0,88.0,17.1,37.4
2.9,103.0,14.9,40.5
5.2,141.0,13.4,47.8
4.6,133.0,12.6,52.5
2.5,119.0,12.2,53.2
1.5,106.0,10.6,56.1
1.2,92.0,9.9,59.5
1.7,97.0,9.6,61.1
1.4,91.0,9.7,61.6
1.2,83.0,9.4,62.6
0.7,59.0,8.0,69.4
0.8,73.0,7.7,72.4
0.9,78.0,8.0,71.8
1.6,90.0,8.5,66.3
3.4,110.0,9.8,59.6
3.8,114.0,11.2,57.0
3.1,119.0,14.8,44.1
2.7,121.0,16.8,35.3
2.0,97.0,19.2,27.1
2.3,99.0,19.1,26.2
1.9,85.0,16.3,30.8
1.3,75.0,14.2,36.8
1.9,87.0,13.4,41.0
2.3,102.0,14.2,43.3
2.4,105.0,12.1,45.6
2.7,98.0,10.4,48.0
2.6,93.0,10.0,51.1
1.5,91.0,9.8,50.8
1.2,85.0,9.7,50.4
1.1,74.0,9.9,50.2
1.5,87.0,9.4,53.4
1.0,79.0,8.6,57.8
1.2,78.0,8.1,62.1
-200.0,63.0,7.4,64.8
0.8,48.0,8.2,58.9
0.9,59.0,6.3,66.6
1.1,65.0,7.2,62.9
1.5,71.0,7.2,63.9
1.8,84.0,11.1,50.5
2.1,93.0,15.5,36.1
2.1,99.0,17.8,29.2
1.9,93.0,17.6,30.1
2.1,96.0,19.1,26.8
2.5,114.0,17.7,28.6
1.9,101.0,17.8,28.4
2.2,108.0,18.7,26.0
2.3,117.0,17.1,31.3
2.7,125.0,15.8,36.1
3.0,133.0,14.7,40.1
2.8,119.0,13.6,44.9
2.2,107.0,12.5,48.1
1.6,96.0,11.8,50.8
2.1,105.0,10.9,56.1
2.3,102.0,10.9,55.9
2.3,97.0,10.3,58.1
1.7,79.0,9.3,62.2
1.3,69.0,8.3,64.9
0.8,52.0,9.6,58.5
1.1,62.0,7.7,66.4
1.4,69.0,7.4,68.0
1.3,75.0,9.7,58.6
1.9,83.0,12.5,50.1
2.3,94.0,16.8,36.9
2.3,96.0,19.2,31.3
1.8,86.0,21.3,26.4
1.4,72.0,21.2,23.1
1.0,53.0,18.6,25.0
1.4,65.0,18.0,27.3
1.3,70.0,18.2,28.3
1.3,75.0,17.0,31.4
1.4,86.0,15.6,35.0
1.9,94.0,14.1,40.2
1.8,103.0,13.4,43.2
1.1,81.0,12.3,46.8
1.1,80.0,11.9,46.5
1.1,77.0,11.5,46.6
0.9,58.0,10.6,48.0
0.6,31.0,10.7,45.8
0.5,38.0,10.4,46.6
0.6,59.0,11.3,46.9
0.7,70.0,10.1,51.2
0.9,75.0,9.9,50.7
2.9,103.0,8.1,56.8
4.1,134.0,10.9,44.1
1.5,98.0,11.8,37.6
1.5,97.0,13.9,33.2
1.5,98.0,15.6,30.1
1.4,78.0,16.5,29.0
1.6,83.0,17.5,27.9
1.5,92.0,17.9,26.8
1.4,81.0,18.2,26.1
1.5,90.0,18.0,27.1
1.9,95.0,17.0,28.9
2.5,114.0,16.1,31.3
2.1,106.0,14.5,35.4
1.6,99.0,13.2,37.9
1.2,90.0,13.1,34.4
1.1,82.0,13.5,28.5
1.0,74.0,12.4,31.9
1.0,76.0,13.1,26.8
0.7,66.0,11.6,33.6
0.7,73.0,10.5,42.9
-200.0,69.0,12.2,37.2
0.7,71.0,12.9,33.9
1.1,98.0,11.3,40.3
2.6,115.0,11.9,38.4
4.0,130.0,13.3,35.6
4.2,150.0,16.3,28.8
4.7,159.0,17.9,28.2
3.9,146.0,18.3,26.6
3.7,138.0,20.8,22.5
3.4,128.0,22.4,20.0
2.2,97.0,20.9,21.7
1.9,91.0,19.1,26.5
1.6,81.0,18.1,30.6
2.1,99.0,17.3,34.7
2.2,101.0,15.8,40.4
2.7,106.0,15.9,42.0
2.4,102.0,15.9,43.5
1.3,84.0,15.0,46.1
1.2,81.0,15.1,44.6
1.5,91.0,14.9,43.5
1.3,82.0,14.8,41.0
1.0,64.0,14.8,40.8
0.9,70.0,14.8,40.8
0.5,26.0,14.5,36.1
0.6,58.0,14.6,36.0
1.0,93.0,14.4,38.5
3.1,110.0,13.8,58.2
4.1,115.0,13.2,61.1
2.2,125.0,10.4,74.4
1.7,118.0,11.5,71.0
1.9,109.0,12.2,70.0
2.9,123.0,12.3,73.3
2.2,114.0,11.3,78.1
2.6,114.0,13.6,69.2
3.1,119.0,14.9,59.3
2.3,111.0,15.7,50.9
2.4,103.0,15.2,52.9
2.8,103.0,15.5,50.8
2.7,107.0,14.3,52.9
2.3,105.0,13.2,56.0
1.5,91.0,12.6,57.0
1.4,79.0,12.3,57.8
1.2,79.0,12.0,58.4
1.6,86.0,12.0,61.6
1.2,70.0,11.5,63.9
1.1,55.0,10.7,67.2
0.7,49.0,10.2,66.6
0.9,50.0,11.0,63.7
1.7,67.0,9.6,68.8
4.2,94.0,9.5,69.6
6.2,119.0,11.9,60.9
4.6,139.0,16.2,48.6
2.8,113.0,19.2,39.6
1.6,88.0,19.7,38.4
1.7,73.0,20.6,36.7
1.7,73.0,21.8,33.9
1.7,72.0,-200.0,-200.0
1.9,81.0,-200.0,-200.0
2.3,93.0,-200.0,-200.0
3.3,106.0,23.6,27.5
4.2,132.0,22.8,32.1
5.5,164.0,20.8,36.7
4.9,161.0,18.3,40.9
2.5,124.0,16.8,44.0
2.0,113.0,15.8,48.0
2.0,103.0,14.9,52.0
2.0,104.0,14.1,54.4
1.3,93.0,13.3,58.8
1.0,60.0,13.3,60.9
-200.0,52.0,11.2,65.9
0.7,66.0,11.3,72.9
1.1,82.0,11.4,71.8
2.6,109.0,11.9,73.7
3.9,114.0,12.6,70.2
5.0,139.0,13.6,65.3
3.3,127.0,16.9,52.3
2.9,127.0,19.4,44.1
3.1,135.0,22.9,33.8
3.0,130.0,23.6,31.3
2.7,126.0,24.7,30.5
2.7,121.0,26.1,27.3
2.6,122.0,27.6,22.8
3.7,138.0,26.9,22.3
4.5,165.0,24.3,30.1
4.7,154.0,21.2,40.1
5.5,168.0,19.4,42.5
3.0,146.0,18.5,43.0
1.9,124.0,17.8,47.0
2.3,124.0,16.8,53.2
1.6,106.0,17.1,51.8
1.3,88.0,16.2,54.2
1.2,83.0,15.1,58.2
0.8,74.0,14.5,58.0
0.8,64.0,13.7,61.6
0.9,69.0,13.9,59.6
2.0,91.0,13.3,61.7
3.0,96.0,15.1,55.8
3.1,106.0,17.0,50.5
3.1,124.0,15.6,57.4
3.0,121.0,16.6,55.2
3.2,114.0,17.0,54.3
3.1,114.0,18.0,51.5
2.5,106.0,19.5,47.5
2.1,89.0,21.6,41.7
2.0,82.0,22.2,38.3
3.2,111.0,20.3,42.8
4.1,132.0,19.7,45.4
3.9,121.0,18.8,47.5
3.1,116.0,17.9,49.4
2.0,100.0,17.5,50.9
1.7,89.0,17.4,51.8
1.6,92.0,17.0,53.9
1.0,71.0,16.6,55.4
0.8,51.0,15.9,57.0
0.5,39.0,15.0,59.2
0.5,35.0,14.1,61.6
0.8,64.0,14.6,58.8
1.7,94.0,14.4,58.9
4.5,134.0,15.3,55.2
6.2,129.0,16.2,52.5
4.4,125.0,18.4,46.3
2.9,107.0,19.6,41.8
1.6,78.0,20.2,40.1
2.6,91.0,20.9,36.6
2.9,116.0,20.4,34.7
2.5,131.0,19.3,35.4
1.9,113.0,18.6,36.9
1.9,98.0,18.8,36.8
2.7,116.0,17.5,40.6
3.0,120.0,16.8,44.3
3.3,126.0,16.3,47.7
3.2,126.0,15.6,50.7
1.8,90.0,15.7,49.4
1.3,81.0,15.8,48.6
1.1,74.0,15.7,47.0
0.9,67.0,15.7,45.9
0.7,46.0,15.6,44.9
0.4,30.0,15.6,44.4
0.3,19.0,15.7,45.4
0.3,32.0,15.3,50.1
0.8,61.0,14.2,58.6
2.8,111.0,14.3,58.2
3.1,102.0,15.0,52.0
2.3,116.0,13.6,61.4
1.6,96.0,16.1,53.1
1.5,97.0,16.6,44.3
1.6,110.0,17.4,40.3
1.8,103.0,18.1,42.2
1.4,79.0,14.4,51.8
1.9,104.0,10.9,76.4
1.2,69.0,16.4,47.7
2.3,96.0,18.0,37.1
3.3,121.0,14.7,48.7
3.1,129.0,11.3,71.3
3.3,116.0,10.0,74.0
1.2,71.0,9.8,71.8
1.3,85.0,9.3,75.2
1.9,101.0,9.6,76.0
1.4,97.0,9.3,75.0
1.5,89.0,9.0,76.7
1.1,72.0,8.2,79.6
-200.0,57.0,8.3,75.6
0.8,62.0,8.1,72.1
1.1,64.0,8.1,70.4
2.6,80.0,8.1,70.5
5.1,118.0,9.9,64.3
4.2,130.0,13.0,54.2
2.6,113.0,16.5,42.6
2.4,112.0,19.3,34.2
2.1,96.0,21.5,27.4
2.6,125.0,20.4,26.7
2.8,128.0,20.6,22.6
2.5,101.0,20.6,24.8
1.9,95.0,21.0,25.4
3.6,138.0,21.5,24.5
4.6,154.0,19.3,28.6
6.3,171.0,18.0,32.9
4.3,136.0,15.8,39.8
1.6,93.0,15.3,41.5
1.4,99.0,14.1,46.0
2.0,106.0,-200.0,-200.0
2.4,109.0,-200.0,-200.0
1.8,97.0,-200.0,-200.0
1.0,83.0,-200.0,-200.0
1.0,79.0,-200.0,-200.0
0.9,84.0,-200.0,-200.0
1.5,86.0,-200.0,-200.0
2.6,111.0,-200.0,-200.0
2.9,117.0,-200.0,-200.0
2.7,122.0,-200.0,-200.0
2.4,119.0,-200.0,-200.0
2.6,121.0,-200.0,-200.0
4.1,127.0,-200.0,-200.0
4.3,135.0,-200.0,-200.0
2.2,119.0,-200.0,-200.0
3.4,137.0,-200.0,-200.0
3.6,139.0,-200.0,-200.0
2.5,117.0,-200.0,-200.0
2.8,127.0,-200.0,-200.0
3.4,137.0,-200.0,-200.0
3.0,127.0,-200.0,-200.0
2.1,107.0,-200.0,-200.0
2.4,102.0,-200.0,-200.0
2.3,95.0,12.0,67.9
1.3,79.0,12.0,66.9
1.7,78.0,11.5,70.1
1.7,75.0,11.4,69.8
0.8,52.0,10.8,70.3
1.0,55.0,10.2,73.4
1.4,65.0,10.8,70.5
1.7,72.0,11.0,71.0
2.0,76.0,12.4,64.0
2.0,84.0,15.0,53.1
1.9,90.0,16.6,44.4
2.1,89.0,18.0,38.4
1.8,87.0,20.6,30.0
1.5,88.0,19.9,26.7
1.3,81.0,19.8,23.1
1.4,89.0,21.4,22.7
1.5,91.0,22.1,21.3
1.7,104.0,21.1,24.5
2.0,111.0,18.3,31.6
2.5,129.0,16.1,35.0
2.4,133.0,14.8,41.5
2.0,115.0,13.2,50.3
2.9,125.0,12.3,55.5
2.5,117.0,11.8,56.6
1.4,84.0,11.2,56.2
1.2,63.0,11.0,56.6
1.0,68.0,9.3,64.3
-200.0,52.0,7.8,70.4
0.7,49.0,7.7,70.7
0.8,49.0,7.4,71.0
0.9,52.0,8.2,66.6
1.1,58.0,8.7,64.3
1.0,51.0,13.0,47.9
1.6,77.0,17.4,35.4
1.8,90.0,20.2,29.2
2.6,118.0,22.7,22.9
1.1,70.0,22.3,22.4
0.6,35.0,22.2,18.9
0.9,46.0,22.0,19.0
1.0,58.0,21.0,23.6
1.2,61.0,19.6,27.4
1.4,80.0,17.9,30.8
2.0,93.0,16.4,35.3
1.1,78.0,15.6,37.5
1.1,76.0,15.5,36.7
1.1,74.0,14.5,39.0
1.1,81.0,14.2,38.2
0.7,58.0,13.7,38.3
0.6,59.0,14.1,34.0
0.7,54.0,14.6,34.0
0.3,25.0,13.9,30.9
0.3,26.0,13.5,37.9
0.4,49.0,13.9,43.6
0.5,53.0,13.5,50.1
0.6,57.0,13.3,53.6
0.8,73.0,13.4,56.0
1.0,78.0,13.0,59.6
1.3,93.0,12.7,62.7
1.1,71.0,12.1,60.5
0.6,56.0,11.2,64.4
0.7,60.0,10.7,67.6
1.2,77.0,11.4,61.2
1.4,82.0,9.9,70.5
1.2,77.0,10.3,65.2
1.3,91.0,11.0,58.9
1.8,93.0,10.6,59.5
1.2,82.0,10.6,57.7
0.8,74.0,10.6,56.1
0.8,68.0,10.3,58.0
0.8,65.0,10.4,58.4
0.7,58.0,10.7,58.2
0.5,36.0,10.5,59.9
0.3,29.0,10.5,60.8
0.3,28.0,11.1,60.1
0.7,68.0,10.1,68.4
1.6,99.0,10.0,68.7
3.9,130.0,11.0,64.2
4.5,128.0,12.0,58.1
2.7,120.0,12.8,52.0
1.6,93.0,12.6,50.8
1.6,96.0,13.8,47.4
1.6,84.0,15.1,42.7
1.5,87.0,16.3,38.1
1.8,87.0,16.6,36.7
2.1,103.0,15.8,40.5
1.7,88.0,16.3,41.8
3.0,118.0,16.1,42.8
4.6,134.0,15.3,46.8
5.0,144.0,14.7,47.0
3.5,129.0,14.1,49.6
2.1,108.0,13.5,54.1
2.1,104.0,12.3,59.2
1.5,90.0,11.6,62.2
1.1,74.0,11.5,61.4
0.9,73.0,10.9,64.6
0.7,60.0,11.1,63.2
-200.0,57.0,10.7,63.8
0.9,62.0,10.2,65.8
1.6,71.0,10.3,65.6
3.9,94.0,10.8,64.0
5.0,99.0,13.3,55.6
4.3,119.0,15.8,46.8
2.7,103.0,19.5,34.4
2.1,95.0,21.1,30.2
2.1,95.0,18.4,34.2
3.9,114.0,13.5,53.4
3.8,127.0,15.0,49.3
3.8,135.0,17.1,42.1
3.9,135.0,18.4,36.9
3.5,120.0,19.3,35.4
4.0,129.0,19.2,35.7
3.0,114.0,21.5,30.4
3.1,129.0,19.6,34.6
5.2,149.0,19.6,35.5
5.9,149.0,18.3,44.1
7.3,158.0,17.4,47.8
6.1,148.0,16.8,49.8
4.6,134.0,16.2,53.2
2.5,111.0,14.9,59.1
2.2,106.0,13.9,64.0
2.0,108.0,13.7,66.8
1.9,93.0,13.4,69.6
1.6,83.0,12.8,71.9
1.0,69.0,11.9,74.8
1.2,77.0,11.6,76.4
2.0,87.0,11.7,75.3
4.5,109.0,12.8,71.0
4.1,116.0,13.8,61.1
2.6,105.0,15.3,51.4
2.3,106.0,16.6,48.7
2.6,108.0,17.6,46.7
2.4,100.0,19.2,42.7
4.3,149.0,15.7,62.5
4.6,148.0,14.5,75.7
4.0,126.0,14.4,77.4
4.7,140.0,14.6,74.9
5.7,142.0,14.6,76.0
5.2,141.0,14.0,76.3
6.4,149.0,13.9,78.0
6.0,140.0,13.8,78.0
3.4,117.0,13.5,79.4
2.7,103.0,13.1,80.1
3.1,99.0,12.8,81.0
2.6,100.0,12.7,80.6
2.2,88.0,12.5,81.8
1.9,83.0,12.7,81.2
0.6,59.0,14.2,52.2
0.8,67.0,14.3,55.4
4.0,95.0,14.0,58.0
5.6,123.0,15.4,53.3
5.0,142.0,19.1,42.1
3.2,142.0,23.7,31.0
3.8,169.0,26.9,25.7
3.3,142.0,29.7,20.6
3.0,136.0,29.2,21.5
3.2,147.0,29.6,20.1
4.4,196.0,30.0,19.4
4.6,186.0,29.5,20.1
5.2,177.0,27.0,26.8
4.8,164.0,24.9,30.8
5.6,161.0,23.1,36.7
4.6,146.0,21.5,40.8
1.8,98.0,20.5,41.5
2.2,108.0,19.2,44.9
2.0,107.0,18.8,47.7
2.8,113.0,18.2,49.7
2.6,100.0,16.1,57.4
1.8,87.0,16.3,55.3
-200.0,60.0,16.9,49.8
0.7,65.0,14.8,57.7
0.9,64.0,14.0,59.7
1.5,73.0,14.6,56.8
2.5,86.0,16.7,51.9
3.0,105.0,20.0,45.0
2.6,107.0,23.9,33.7
2.6,114.0,26.8,29.5
2.6,105.0,27.2,32.4
1.9,74.0,26.9,32.1
2.0,95.0,24.3,41.8
1.7,89.0,25.6,36.0
1.9,95.0,27.0,31.8
1.8,93.0,27.5,31.6
2.8,123.0,24.9,38.1
3.5,134.0,23.4,39.7
3.4,126.0,21.2,50.8
2.0,79.0,15.6,73.5
1.1,54.0,12.9,79.7
1.3,69.0,11.5,76.9
1.2,67.0,12.2,66.8
1.3,73.0,12.4,64.1
1.0,73.0,12.7,58.7
-200.0,33.0,12.5,51.2
0.3,20.0,12.5,50.9
0.5,37.0,12.8,49.3
0.6,50.0,13.5,48.6
0.6,45.0,14.4,45.9
0.8,48.0,15.1,43.9
1.0,56.0,16.6,38.6
0.9,58.0,17.2,35.0
1.0,52.0,17.4,33.9
0.8,52.0,17.9,30.7
0.7,44.0,18.3,27.2
0.9,59.0,19.4,25.7
1.3,74.0,20.2,24.1
1.4,76.0,19.6,24.9
1.5,83.0,18.5,27.8
2.7,100.0,17.8,30.3
2.5,101.0,16.6,34.0
1.4,90.0,15.5,37.0
2.8,93.0,14.8,39.5
2.1,79.0,14.5,42.0
1.1,57.0,14.1,44.9
0.7,43.0,14.2,45.5
0.4,25.0,14.1,45.3
-200.0,17.0,14.1,43.0
0.4,44.0,13.9,43.9
0.8,72.0,14.0,43.8
1.9,91.0,14.4,43.6
2.1,89.0,15.0,41.7
1.4,84.0,16.3,38.4
